interval	n_switch_errors_grch38	n_switch_errors_chm13	n_checked_grch38	n_checked_chm13	switch_error_rate_grch38	switch_error_rate_chm13	n_gt_checked_grch38	n_gt_checked_chm13	genotype_error_rate_grch38	genotype_error_rate_chm13	abs_diff_GER	rel_drop_GER	abs_diff_SER	rel_drop_SER	decipher
16p12.3	2336	1585	178083	153966	1.3117478928364865	1.02944805996129	1168811	990025	1.955919306029803	1.1198707103355976	0.8360485956942054	42.74453414907221	0.28229983287519644	21.520890898079447	False
Xq28	1744	1251	107881	98330	1.61659606418183	1.272246516831079	1280916	1142661	2.018945816899781	1.7531008759378328	0.26584494096194833	13.167512408538528	0.34434954735075096	21.3009022464142	True
2q12.3	817	571	78565	69766	1.0399032648125754	0.8184502479717914	527210	459586	0.9550274084330722	0.575082791904018	0.3799446165290542	39.78363481236994	0.221453016840784	21.29554010782888	False
11p14.1	1148	778	122978	105883	0.9335003008668217	0.7347732874965764	837169	720572	0.8249230442121006	0.6089606590319913	0.21596238518010935	26.179700845474507	0.19872701337024523	21.28837164655577	False
16q22.1	1956	1369	118386	105254	1.6522223911611171	1.3006631576947194	925810	797875	1.6637322992838703	1.2381638727870907	0.4255684264967796	25.579140747580574	0.3515592334663977	21.27796084517023	False
3p25.1	1234	908	133125	124424	0.9269483568075116	0.729762746736964	830103	774156	0.7632787738389092	0.5183709743255881	0.2449077995133211	32.08628458008308	0.1971856100705477	21.272556191767965	False
10p11.23	946	679	99964	91095	0.9463406826457524	0.7453757066798398	617723	557025	1.0163131371180933	0.7067905390242808	0.30952259809381255	30.455436104221757	0.20096497596591267	21.236007248896925	False
2p11.2	2008	1445	175329	160186	1.145275453575849	0.9020763362590988	1244644	1117232	1.2693589492256419	1.2810230999470118	-0.011664150721369948	-0.9189008931228981	0.24319911731675015	21.2349890637592	False
3q12.2	325	230	40272	36183	0.8070123162495033	0.6356576292734157	259293	233204	0.7335331073341741	0.48584072314368537	0.24769238419048872	33.76703542266266	0.17135468697608758	21.23321831969538	False
2p25.3	1915	1430	216784	204861	0.8833677762196472	0.6980342768999468	1412179	1312828	0.6533166121291989	0.463046187314713	0.19027042481448592	29.123769590732273	0.18533349931970045	20.980332802361325	False
2q14.1	2347	1624	234765	204830	0.9997231273827019	0.792852609481033	1614428	1397367	0.8206002373596097	0.6074281130154068	0.21317212434420296	25.97758502119285	0.20687051790166888	20.69278105461666	False
2p25.2	1294	974	122305	116013	1.0580107109275991	0.8395610836716574	806929	762695	0.7761525487372495	0.6112535154943982	0.16489903324285127	21.245698865658746	0.21844962725594175	20.64720375698451	False
5p15.33	2945	1914	245251	200692	1.2008105981219241	0.9537001973172822	1547608	1259586	1.4607058118076413	0.7721584711167002	0.688547340690941	47.13798871237839	0.24711040080464197	20.578632566295163	False
6q21	4078	2994	351672	324995	1.1596032666803158	0.9212449422298805	2376223	2166796	0.9423778828838875	0.6729752131718907	0.2694026697119968	28.587541643864167	0.23835832445043525	20.555161519404976	False
2q14.3	2895	2170	309381	291017	0.9357394280838189	0.7456609064075295	2166326	2013482	0.8498259264764398	0.6422704548637634	0.2075554716126764	24.423292482172887	0.19007852167628947	20.31318933151368	False
Xp21.3	918	684	75551	70639	1.215073261770195	0.968303628307309	787059	724308	0.9367785642499482	0.7107473616196425	0.22603120263030574	24.128562635427343	0.24676963346288594	20.309033309100755	False
3p26.3	1428	1026	167728	151157	0.8513784222073834	0.6787644634386764	1078601	971601	0.6498232432567742	0.47663598534789486	0.17318725790887934	26.651440942755766	0.172613958768707	20.274645711735072	False
16q24.3	912	659	72110	65261	1.2647344335043684	1.0097914527819065	504316	443014	1.1746603320140547	0.8387996767596508	0.3358606552544039	28.59215094788655	0.2549429807224619	20.15782712707974	False
13q14.13	674	436	59316	48033	1.1362870051925282	0.9077092832011326	377358	307727	1.079876403839325	0.688922324007968	0.3909540798313569	36.20359500785305	0.2285777219913956	20.116196079586967	False
16p12.1	2309	1757	190810	181210	1.2101042922278706	0.9695932895535566	1249705	1175503	1.23693191593216	0.914587202244486	0.3223447136876739	26.060020728364254	0.24051100267431402	19.87522928552874	True
6q27	3319	2450	336455	309656	0.9864617853799171	0.7912005580385977	2064648	1887364	1.2211766848392558	0.8678771026680598	0.35329958217119595	28.931078242596897	0.19526122734131945	19.79409950139308	False
10p12.2	738	544	77911	71565	0.9472346651949018	0.760148117096346	561966	513399	0.7336742792268571	0.5409048323039196	0.19276944692293752	26.274527045718045	0.18708654809855585	19.750813074399165	False
3q13.32	674	500	72384	66913	0.9311450044208666	0.7472389520720937	453356	418126	0.7905487078587247	0.7301626782357471	0.060386029622977566	7.638495771694931	0.18390605234877289	19.75052773473824	False
9q21.12	918	699	84585	80213	1.085298811846072	0.8714298181092841	515351	482167	3.0957541559053925	0.7646728208276385	2.331081335077754	75.29930406880128	0.21386899373678792	19.706000909832465	False
2p22.1	1371	1025	139621	129999	0.9819439769089177	0.7884676035969507	964799	891771	0.8400713516494108	0.6147318089509526	0.22533954269845824	26.82385755162614	0.193476373311967	19.703402420269978	False
19q13.43	1751	1275	146295	132602	1.1968966813629995	0.9615239589146469	928501	829771	1.090359622660611	0.8801223470089942	0.21023727565161676	19.281461939925116	0.2353727224483526	19.66524981757952	False
